plot_name,accession_name,accession_name_new,plot_number,block_number,is_a_control,rep_number,row_number,col_number,"plant height measurement in cm			|CO_334:0000018",Notes
21.GS.C6.SN.Student2.IB,TMS21F1975P0118,TMS21F1975P0118,,1,,1,,,94,
,TMS21F1975P0119,TMS21F1975P0119,,1,,1,,,109.8,
,TMS21F1975P0120,TMS21F1975P0120,,1,,1,,,80,
,TMS21F1975P0121,TMS21F1975P0121,,1,,1,,,84.2,
,TMS21F1975P0122,TMS21F1975P0122,,1,,1,,,123.5,
,TMS21F1975P0123,TMS21F1975P0123,,1,,1,,,78.2,
,TMS21F1975P0124,TMS21F1975P0124,,1,,1,,,86,
,TMS21F1975P0125,TMS21F1975P0125,,1,,1,,,105,
,TMS21F1975P0126,TMS21F1975P0126,,1,,1,,,105.5,
,TMS21F1975P0127,TMS21F1975P0127,,1,,1,,,100,
,TMS21F1975P0128,TMS21F1975P0128,,1,,1,,,90.5,
,TMS21F1980P0006,TMS21F1980P0006,,1,,1,,,62.4,
,TMS21F2014P0008_2,TMS21F2014P0024,,1,,1,,,98.7,
,TMS21F2038P0008_2,TMS21F2038P0029,,1,,1,,,100,
,TMS21F2039P00010,TMS21F2039P0010,,1,,1,,,107.5,
,TMS21F2054P0005_2,TMS21F2054P0038,,1,,1,,,108,
,TMS21F2054P0021_2,TMS21F2054P0039,,1,,1,,,122,
,TMS21F2055P0019_2,TMS21F2055P0044,,1,,1,,,97.2,
,TMS21F2057P0010_2,TMS21F2057P0015,,1,,1,,,90,
,TMS21F2060P0003_2,TMS21F2060P0010,,1,,1,,,60.5,
,TMS21F2072P0006_2,TMS21F2072P0010,,1,,1,,,50,
,TMS21F2082P0003_2,TMS21F2082P0012,,1,,1,,,84,
,TMS21F2090P0003_2,TMS21F2090P0036,,1,,1,,,80,
,TMS21F2090P0028_2,TMS21F2090P0037,,1,,1,,,83.5,
,TMS21F2091P0010_2,TMS21F2091P0015,,1,,1,,,119,
,TMS21F2092P0015_2,TMS21F2092P0021,,1,,1,,,135,
,TMS21F2093P0012_2,TMS21F2093P0015,,1,,1,,,155,
,TMS21F2097P0007_2,TMS21F2097P0017,,1,,1,,,95,
,TMS21F2194P0002_2,TMS21F2194P0007,,1,,1,,,98,
,TMS21F2226P0001,TMS21F2226P0001,,1,,1,,,84.4,note: family F2226 (11 plants) did not exist in the layout/plants in the field for this family and had no barcodes
,TMS21F2226P0002,TMS21F2226P0002,,1,,1,,,120.4,
,TMS21F2226P0003,TMS21F2226P0003,,1,,1,,,111.8,
,TMS21F2226P0004,TMS21F2226P0004,,1,,1,,,119.8,
,TMS21F2226P0005,TMS21F2226P0005,,1,,1,,,122.3,
,TMS21F2226P0006,TMS21F2226P0006,,1,,1,,,83.3,
,TMS21F2226P0007,TMS21F2226P0007,,1,,1,,,127.3,
,TMS21F2226P0008,TMS21F2226P0008,,1,,1,,,74.8,
,TMS21F2226P0009,TMS21F2226P0009,,1,,1,,,75.5,
,TMS21F2226P0010,TMS21F2226P0010,,1,,1,,,56.6,
,TMS21F2226P0011,TMS21F2226P0011,,1,,1,,,70.3,
,TMS21F2228P0025_2,TMS21F2228P0089,,1,,1,,,69.2,
,TMS21F2231P0056_2,TMS21F2231P0095,,1,,1,,,67.6,
,TMS21F2232P0038_2,TMS21F2232P0099,,1,,1,,,77,
,TMS21F2233P0078_2,TMS21F2233P0100,,1,,1,,,67.5,
,TMS21F2239P0040_2,TMS21F2239P0096,,1,,1,,,56,
,TMS21F2241P0050_2,TMS21F2241P0097,,1,,1,,,62,
,TMS21F2247P0010_2,TMS21F2247P0089,,1,,1,,,125,
,TMS21F2249P0031_2,TMS21F2249P0114,,1,,1,,,117,